acceptance ratio,link utilization,node utilization,profitability,revenue cost ratio,time periods
0.52639294,0.40327102,0.24187654,0.25166980165206765,0.47810254,17150
0.5270468,0.42289722,0.25343907,0.252003648494444,0.47814283,17200
0.5258935,0.42289722,0.25343907,0.251452206368605,0.47814283,17250
0.52509093,0.4327103,0.26125157,0.25104589486936046,0.47809985,17300
0.5246377,0.45023364,0.2828141,0.25098662321623,0.4783999,17350
0.525289,0.41892523,0.28343904,0.25139363957662003,0.47858158,17400
0.5262779,0.46495324,0.30531406,0.251704841621777,0.47827363,17450
0.52582496,0.47803736,0.28218907,0.2513977757289344,0.47810164,17500
0.52503574,0.4448598,0.27031404,0.251108265830486,0.4782689,17550
0.52530295,0.43878508,0.26406407,0.25132006000496,0.4784288,17600
0.52489334,0.45350468,0.26906407,0.25103929426511495,0.47826725,17650
0.5251595,0.4939252,0.28906405,0.25111903668365,0.4781767,17700
0.5247525,0.47990656,0.26750153,0.250830015792,0.4779968,17750
0.5243129,0.43878508,0.2568766,0.250611368314095,0.47798055,17800
0.5246132,0.41331774,0.27031404,0.25097504406424404,0.47840017,17850
0.5245442,0.42570096,0.2671891,0.25102062691,0.47855,17900
0.524109,0.4614486,0.29250157,0.25077004014825005,0.47846925,17950
0.5236769,0.4600467,0.3012516,0.250691599662594,0.47871426,18000
0.5222222,0.4600467,0.3012516,0.24999523491745998,0.4787143,18050
0.52182955,0.45981306,0.30093908,0.24983941244784497,0.4787759,18100
0.520387,0.44065422,0.2934391,0.24914876468104002,0.47877592,18150
0.52,0.38574767,0.25093907,0.24900000320000001,0.47884616,18200
0.52027494,0.39813083,0.25250155,0.24911034670168797,0.4788052,18250
0.5205761,0.4098131,0.26500154,0.249120261070725,0.47854725,18300
0.5215311,0.41845793,0.26687658,0.249659101924065,0.47870415,18350
0.5217984,0.49462616,0.29906404,0.24954505988140802,0.47824037,18400
0.521414,0.42850465,0.26531404,0.24934573307324004,0.47821066,18450
0.520678,0.3801402,0.24406403,0.24908311837227998,0.47838226,18500
0.52129817,0.42429906,0.25062656,0.24913934270457,0.477921,18550
0.52088946,0.43925232,0.25062656,0.24872972810660524,0.47750962,18600
0.5205111,0.44556075,0.24875158,0.24855263868315,0.4775165,18650
0.5197854,0.45303738,0.2568766,0.24820847518052397,0.47752106,18700
0.5197324,0.50163555,0.27468908,0.24791503142186,0.47700515,18750
0.5193592,0.45443922,0.24312657,0.2477443360646,0.47701925,18800
0.51965356,0.39392525,0.21468908,0.24799220021763116,0.47722602,18850
0.5192563,0.4443925,0.22375154,0.247746132708612,0.47711724,18900
0.518224,0.3890187,0.19500154,0.2472536356752,0.4771173,18950
0.51849407,0.36074764,0.18968904,0.247538090814818,0.4774174,19000
0.51876235,0.42126167,0.22312659,0.24753730141190303,0.47716898,19050
0.51871306,0.4448598,0.23718905,0.24746494491827978,0.47707483,19100
0.5183246,0.4600467,0.24625158,0.24724993079673002,0.47701755,19150
0.517624,0.44205606,0.22125155,0.24691168965776,0.47700974,19200
0.5188802,0.44649535,0.24656409,0.24769623254538,0.4773669,19250
0.5185185,0.41775703,0.23593909,0.24758695263908997,0.47748914,19300
0.5187824,0.4457944,0.24531406,0.2475917537032,0.4772555,19350
0.51839894,0.45584112,0.2543766,0.2472712244383668,0.47699022,19400
0.5186615,0.4436916,0.24593908,0.24721493146553,0.47664022,19450
0.5182809,0.45841122,0.2515641,0.24701197726078503,0.47659865,19500
0.5185422,0.5074766,0.27531403,0.24689379325505398,0.47613057,19550
0.5188018,0.4792056,0.26656407,0.24693481906852,0.4759714,19600
